NAME,B01001_001E,B19013_001E,B25001_001E,B25003_001E,B25003_002E,B25077_001E,B25034_001E,B25034_006E,B25034_011E,B08303_001E,B08303_012E,B08303_013E,B08201_001E,B08201_002E,B17001_001E,B17001_002E,state,county,tract,population_total,population_total_moe,median_household_income,median_household_income_moe,housing_units_total,housing_units_total_moe,occupied_units_total,occupied_units_total_moe,owner_occupied_units,owner_occupied_units_moe,median_home_value,median_home_value_moe,housing_built_total,housing_built_total_moe,housing_built_1980_1989,housing_built_1980_1989_moe,housing_built_1979_earlier,housing_built_1979_earlier_moe,workers_commute_total,workers_commute_total_moe,workers_commute_60_89,workers_commute_60_89_moe,workers_commute_90_plus,workers_commute_90_plus_moe,households_vehicle_total,households_vehicle_total_moe,households_no_vehicle,households_no_vehicle_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,GEOID,homeownership_rate,long_commute_share,poverty_rate,no_vehicle_share,old_housing_share,income_per_housing_unit,commute_stress_index,housing_risk_proxy,income_moe_ratio,poor_quality_income,opportunity_score,risk_score
Census Tract 101; Cook County; Illinois,4198,74145,2905,2284,688,340700,2905,0,1603,1955,311,0,2284,695,4097,545,17,031,010100,4198,4198,74145,74145,2905,2905,2284,2284,688,688,340700,340700,2905,2905,0,0,1603,1603,1955,1955,311,311,0,0,2284,2284,695,695,4097,4097,545,545,17031010100,0.30122591943957966,0.15907928388746803,0.13302416402245545,0.3042907180385289,0.5518072289156627,25.523235800344235,0.04840634951917263,0.3855885890321356,1.0,True,0.7074744469824973,0.3776600154819513
Census Tract 8030.12; Cook County; Illinois,2135,85865,1063,1017,652,295200,1063,610,0,1027,18,23,1017,73,2135,194,17,031,803012,2135,2135,85865,85865,1063,1063,1017,1017,652,652,295200,295200,1063,1063,610,610,0,0,1027,1027,18,18,23,23,1017,1017,73,73,2135,2135,194,194,17031803012,0.6411012782694199,0.03992210321324245,0.09086651053864168,0.07177974434611603,0.5738476011288806,80.7761053621825,0.0028655983624058007,0.20595317051331505,1.0,True,0.8396327766518055,0.23387446656134162
Census Tract 8030.13; Cook County; Illinois,5690,104564,2522,2467,2221,288200,2522,430,0,2128,91,0,2467,136,5690,285,17,031,803013,5690,5690,104564,104564,2522,2522,2467,2467,2221,2221,288200,288200,2522,2522,430,430,0,0,2128,2128,91,91,0,0,2467,2467,136,136,5690,5690,285,285,17031803013,0.9002837454398054,0.04276315789473684,0.05008787346221441,0.055127685447912446,0.17049960348929422,41.460745440126885,0.0023574339171804665,0.017001581863950708,1.0,True,0.9442800132348607,0.10390277690010895
Census Tract 8030.14; Cook County; Illinois,3543,83030,1549,1456,891,308500,1549,693,10,1954,169,0,1456,67,3543,158,17,031,803014,3543,3543,83030,83030,1549,1549,1456,1456,891,891,308500,308500,1549,1549,693,693,10,10,1954,1954,169,169,0,0,1456,1456,67,67,3543,3543,158,158,17031803014,0.6119505494505495,0.086489252814739,0.044594976009031895,0.04601648351648352,0.4538411878631375,53.602324080051645,0.003979931276502413,0.17611282358700045,1.0,True,0.8506156227556647,0.20036713189294897
Census Tract 8030.15; Cook County; Illinois,4520,108030,2108,2084,1610,386500,2108,820,87,1778,77,33,2084,158,4520,288,17,031,803015,4520,4520,108030,108030,2108,2108,2084,2084,1610,1610,386500,386500,2108,2108,820,820,87,87,1778,1778,77,77,33,33,2084,2084,158,158,4520,4520,288,288,17031803015,0.772552783109405,0.06186726659167604,0.06371681415929203,0.07581573896353166,0.43026565464895633,51.24762808349146,0.004690512534301734,0.09786272567351502,1.0,True,0.8956073797498999,0.19726284457487095
Census Tract 8030.16; Cook County; Illinois,2537,133150,984,937,393,440500,984,107,29,1052,91,5,937,57,2525,118,17,031,803016,2537,2537,133150,133150,984,984,937,937,393,393,440500,440500,984,984,107,107,29,29,1052,1052,91,91,5,5,937,937,57,57,2525,2525,118,118,17031803016,0.4194236926360726,0.09125475285171103,0.04673267326732673,0.060832443970117396,0.13821138211382114,135.3150406504065,0.005551249639858622,0.08024225386330704,1.0,True,0.785508681557805,0.12036301949828437
Census Tract 8030.17; Cook County; Illinois,6520,108724,2529,2516,1442,426800,2529,746,80,3090,83,46,2516,141,6491,462,17,031,803017,6520,6520,108724,108724,2529,2529,2516,2516,1442,1442,426800,426800,2529,2529,746,746,80,80,3090,3090,83,83,46,46,2516,2516,141,141,6491,6491,462,462,17031803017,0.5731319554848967,0.04174757281553398,0.07117547373286089,0.05604133545310016,0.3266113088177145,42.99090549624358,0.0023395897325080646,0.1394199307115363,1.0,True,0.8257972278670481,0.15424592723402836
Census Tract 8031; Cook County; Illinois,3545,170089,1166,1155,1073,454900,1166,47,102,1063,32,42,1155,11,3544,84,17,031,803100,3545,3545,170089,170089,1166,1166,1155,1155,1073,1073,454900,454900,1166,1166,47,47,102,102,1063,1063,32,32,42,42,1155,1155,11,11,3544,3544,84,84,17031803100,0.929004329004329,0.06961429915333961,0.023702031602708805,0.009523809523809525,0.12778730703259006,145.87392795883363,0.0006629933252699011,0.009072345607508551,1.0,True,0.9656909110202677,0.08214310468230265
Census Tract 8032; Cook County; Illinois,4961,100422,2355,2088,1736,388000,2355,241,114,1502,138,41,2088,323,4627,348,17,031,803200,4961,4961,100422,100422,2355,2355,2088,2088,1736,1736,388000,388000,2355,2355,241,241,114,114,1502,1502,138,138,41,41,2088,2088,323,323,4627,4627,348,348,17031803200,0.8314176245210728,0.11917443408788282,0.07521071968878323,0.15469348659003831,0.15074309978768577,42.64203821656051,0.018435508721449306,0.025412629849265032,1.0,True,0.9100829944751778,0.17792467073805426
Census Tract 8033; Cook County; Illinois,5529,96587,3525,3023,1701,355900,3525,557,528,1924,228,12,3023,245,5524,516,17,031,803300,5529,5529,96587,96587,3525,3525,3023,3023,1701,1701,355900,355900,3525,3525,557,557,528,528,1924,1924,228,228,12,12,3023,3023,245,245,5524,5524,516,516,17031803300,0.5626860734369832,0.12474012474012475,0.09341057204923968,0.08104531921931855,0.3078014184397163,27.400567375886524,0.010109603229021026,0.1346058468995385,1.0,True,0.8123615600509355,0.20687463151673646
Census Tract 8034; Cook County; Illinois,6398,134260,2247,2183,1824,490500,2247,92,122,2177,281,65,2183,19,6398,273,17,031,803400,6398,6398,134260,134260,2247,2247,2183,2183,1824,1824,490500,490500,2247,2247,92,92,122,122,2177,2177,281,281,65,65,2183,2183,19,19,6398,6398,273,273,17031803400,0.8355474118185983,0.15893431327514929,0.04266958424507659,0.008703618873110398,0.09523809523809523,59.75077881619938,0.0013833036886064297,0.015662151255371595,1.0,True,0.9260349062634258,0.12474802038242624
Census Tract 8035; Cook County; Illinois,5238,131763,2229,2164,1937,443500,2229,118,268,2122,225,27,2164,125,5207,127,17,031,803500,5238,5238,131763,131763,2229,2229,2164,2164,1937,1937,443500,443500,2229,2229,118,118,268,268,2122,2122,225,225,27,27,2164,2164,125,125,5207,5207,127,127,17031803500,0.8951016635859519,0.11875589066918002,0.024390243902439025,0.057763401109057304,0.1731718259309107,59.11305518169583,0.006859744146787201,0.018165436453935653,1.0,True,0.9540629711358983,0.13564776232115897
Census Tract 8036.03; Cook County; Illinois,6489,174383,2492,2317,2099,587200,2492,752,36,1930,68,16,2317,41,6454,111,17,031,803603,6489,6489,174383,174383,2492,2492,2317,2317,2099,2099,587200,587200,2492,2492,752,752,36,36,1930,1930,68,68,16,16,2317,2317,41,41,6454,6454,111,111,17031803603,0.9059128182995253,0.043523316062176166,0.017198636504493336,0.017695295640914977,0.3162118780096308,69.9771268057785,0.0007701579449931907,0.029751484422140474,1.0,True,0.9609054058952182,0.12177704900590962
Census Tract 8036.04; Cook County; Illinois,4446,87422,1855,1855,1323,364700,1855,180,32,1648,103,14,1855,92,4356,555,17,031,803604,4446,4446,87422,87422,1855,1855,1855,1855,1323,1323,364700,364700,1855,1855,180,180,32,32,1648,1648,103,103,14,14,1855,1855,92,92,4356,4356,555,555,17031803604,0.7132075471698113,0.07099514563106796,0.12741046831955924,0.04959568733153639,0.11428571428571428,47.1277628032345,0.003521053044775338,0.03277628032345014,1.0,True,0.8473197733303267,0.12680742244171836
Census Tract 8036.05; Cook County; Illinois,6237,111063,2685,2582,2235,424900,2685,367,14,2204,224,47,2582,0,6237,290,17,031,803605,6237,6237,111063,111063,2685,2685,2582,2582,2235,2235,424900,424900,2685,2685,367,367,14,14,2204,2204,224,224,47,47,2582,2582,0,0,6237,6237,290,290,17031803605,0.8656080557707204,0.12295825771324864,0.04649671316337983,0.0,0.1418994413407821,41.36424581005586,0.0,0.01907014180683632,1.0,True,0.9343313281628037,0.11786888854643944
Census Tract 8036.07; Cook County; Illinois,4434,125818,1749,1719,1601,363900,1749,8,12,1981,100,26,1719,22,4432,252,17,031,803607,4434,4434,125818,125818,1749,1749,1719,1719,1601,1601,363900,363900,1749,1749,8,8,12,12,1981,1981,100,100,26,26,1719,1719,22,22,4432,4432,252,252,17031803607,0.9313554392088423,0.0636042402826855,0.05685920577617329,0.012798138452588714,0.011435105774728416,71.937106918239,0.0008140158733095294,0.0007849578135066627,1.0,True,0.951618477604648,0.05884369069861147
Census Tract 8036.08; Cook County; Illinois,7939,108394,3458,3305,1675,466300,3458,784,20,3584,186,45,3305,198,7939,885,17,031,803608,7939,7939,108394,108394,3458,3458,3305,3305,1675,1675,466300,466300,3458,3458,784,784,20,20,3584,3584,186,186,45,45,3305,3305,198,198,7939,7939,885,885,17031803608,0.5068078668683812,0.064453125,0.11147499685098879,0.05990922844175492,0.23250433776749566,31.345864661654137,0.003861336989409985,0.11466931030590559,1.0,True,0.7856596467396745,0.15438304113426735
Census Tract 8036.11; Cook County; Illinois,6341,63639,2280,2173,1310,189400,2280,981,55,3266,156,28,2173,237,6341,783,17,031,803611,6341,6341,63639,63639,2280,2280,2173,2173,1310,1310,189400,189400,2280,2280,981,981,55,55,3266,3266,156,156,28,28,2173,2173,237,237,6341,6341,783,783,17031803611,0.6028531983433042,0.056338028169014086,0.12348210061504494,0.10906580763920846,0.4543859649122807,27.91184210526316,0.006144552543053998,0.1804579326826039,1.0,True,0.812280594620378,0.23193791410550493
Census Tract 8036.12; Cook County; Illinois,3379,72603,1419,1356,310,300000,1419,687,42,1724,231,18,1356,152,3379,407,17,031,803612,3379,3379,72603,72603,1419,1419,1356,1356,310,310,300000,300000,1419,1419,687,687,42,42,1724,1724,231,231,18,18,1356,1356,152,152,3379,3379,407,407,17031803612,0.22861356932153393,0.14443155452436196,0.12044983722994969,0.11209439528023599,0.5137420718816068,51.164904862579284,0.016189967763792786,0.39629366311811265,1.0,True,0.6888951199212848,0.29338027312316256
Census Tract 8036.13; Cook County; Illinois,3167,64055,1121,1093,553,184700,1121,230,40,1326,58,0,1093,113,3167,267,17,031,803613,3167,3167,64055,64055,1121,1121,1093,1093,553,553,184700,184700,1121,1121,230,230,40,40,1326,1326,58,58,0,0,1093,1093,113,113,3167,3167,267,267,17031803613,0.505946935041171,0.043740573152337855,0.08430691506157247,0.10338517840805124,0.2408563782337199,57.14094558429973,0.004522126959024865,0.11899583188125229,1.0,True,0.7975050900964907,0.15104671848535986
Census Tract 8036.14; Cook County; Illinois,3965,63448,1616,1579,356,148700,1616,368,17,2080,32,0,1579,54,3965,462,17,031,803614,3965,3965,63448,63448,1616,1616,1579,1579,356,356,148700,148700,1616,1616,368,368,17,17,2080,2080,32,32,0,0,1579,1579,54,54,3965,3965,462,462,17031803614,0.22545915136162129,0.015384615384615385,0.11651954602774275,0.034198860037998734,0.23824257425742573,39.26237623762376,0.0005261363082769036,0.18452860564713847,1.0,True,0.6895974233017507,0.12434703632935025
Census Tract 8036.15; Cook County; Illinois,2460,107941,1147,1138,563,340300,1147,268,30,1327,30,0,1138,30,2460,21,17,031,803615,2460,2460,107941,107941,1147,1147,1138,1138,563,563,340300,340300,1147,1147,268,268,30,30,1327,1327,30,30,0,0,1138,1138,30,30,2460,2460,21,21,17031803615,0.4947275922671353,0.02260738507912585,0.00853658536585366,0.026362038664323375,0.2598081952920663,94.10723626852659,0.000595976759555163,0.13127391238395267,1.0,True,0.8276857237547454,0.0952804071340825
Census Tract 8036.16; Cook County; Illinois,4842,90347,2402,2197,1511,331800,2402,591,98,2278,0,26,2197,89,4770,764,17,031,803616,4842,4842,90347,90347,2402,2402,2197,2197,1511,1511,331800,331800,2402,2402,591,591,98,98,2278,2278,0,0,26,26,2197,2197,89,89,4770,4770,764,764,17031803616,0.6877560309512972,0.01141352063213345,0.16016771488469603,0.04050978607191625,0.2868442964196503,37.61323896752706,0.0004623592791351284,0.08956540161305422,1.0,True,0.8241823083869866,0.1525416824910889
Census Tract 8037.01; Cook County; Illinois,2795,85433,1505,1409,895,330400,1505,170,137,1307,28,8,1409,33,2795,207,17,031,803701,2795,2795,85433,85433,1505,1505,1409,1409,895,895,330400,330400,1505,1505,170,170,137,137,1307,1307,28,28,8,8,1409,1409,33,33,2795,2795,207,207,17031803701,0.6352022711142654,0.02754399387911247,0.0740608228980322,0.0234208658623137,0.20398671096345514,56.76611295681063,0.0006451041859550827,0.07441388888233921,1.0,True,0.8451848311157585,0.1032853132512833
Census Tract 8037.02; Cook County; Illinois,6098,116569,2728,2527,1668,389400,2728,122,173,2382,175,173,2527,67,6038,244,17,031,803702,6098,6098,116569,116569,2728,2728,2527,2527,1668,1668,389400,389400,2728,2728,122,122,173,173,2382,2382,175,175,173,173,2527,2527,67,67,6038,6038,244,244,17031803702,0.6600712307083498,0.14609571788413098,0.04041073203047367,0.026513652552433715,0.10813782991202346,42.730571847507335,0.003873531103378225,0.03675915943586393,1.0,True,0.8685445794384073,0.1267769498910024
Census Tract 8038; Cook County; Illinois,4145,133380,1855,1735,1432,344700,1855,95,104,2043,256,78,1735,51,4145,81,17,031,803800,4145,4145,133380,133380,1855,1855,1735,1735,1432,1432,344700,344700,1855,1855,95,95,104,104,2043,2043,256,256,78,78,1735,1735,51,51,4145,4145,81,81,17031803800,0.8253602305475505,0.16348507097405776,0.0195416164053076,0.029394812680115272,0.10727762803234502,71.90296495956873,0.004805613037277778,0.01873494022697437,1.0,True,0.9329858363346376,0.12933648690568314
Census Tract 8039.01; Cook County; Illinois,3626,66466,2066,1984,1199,222000,2066,605,51,1546,70,0,1984,228,3626,580,17,031,803901,3626,3626,66466,66466,2066,2066,1984,1984,1199,1199,222000,222000,2066,2066,605,605,51,51,1546,1546,70,70,0,0,1984,1984,228,228,3626,3626,580,580,17031803901,0.6043346774193549,0.045278137128072445,0.15995587424158852,0.11491935483870967,0.31752178121974833,32.17134559535334,0.005203334307056712,0.12563235799269276,1.0,True,0.7964580287636602,0.2022921953768709
Census Tract 8039.02; Cook County; Illinois,3409,113023,1293,1206,1080,311200,1293,22,43,1513,76,0,1206,11,3318,115,17,031,803902,3409,3409,113023,113023,1293,1293,1206,1206,1080,1080,311200,311200,1293,1293,22,22,43,43,1513,1513,76,76,0,0,1206,1206,11,11,3318,3318,115,115,17031803902,0.8955223880597015,0.05023132848645076,0.034659433393610606,0.00912106135986733,0.050270688321732405,87.41144624903326,0.0004581630293125691,0.005252161466449652,1.0,True,0.9495995687487663,0.0542049933266558
Census Tract 8040; Cook County; Illinois,4705,87196,1987,1933,1663,285800,1987,107,33,1909,186,46,1933,60,4705,452,17,031,804000,4705,4705,87196,87196,1987,1987,1933,1933,1663,1663,285800,285800,1987,1987,107,107,33,33,1909,1909,186,186,46,46,1933,1933,60,60,4705,4705,452,452,17031804000,0.860320744956027,0.12152959664745941,0.09606801275239107,0.031039834454216243,0.07045797684952189,43.88324106693508,0.0037722585612248133,0.009841517718246717,1.0,True,0.910379525397218,0.1238804514134407
Census Tract 8041.02; Cook County; Illinois,7027,165680,2559,2443,2293,582700,2559,618,19,2219,266,69,2443,0,6900,333,17,031,804102,7027,7027,165680,165680,2559,2559,2443,2443,2293,2293,582700,582700,2559,2559,618,618,19,19,2219,2219,266,266,69,69,2443,2443,0,0,6900,6900,333,333,17031804102,0.9386000818665575,0.1509689049121226,0.04826086956521739,0.0,0.24892536146932395,64.74404064087534,0.0,0.015283996815554066,1.0,True,0.957900045357906,0.16256866830506667
Census Tract 8041.04; Cook County; Illinois,4940,152013,1984,1815,1600,379300,1984,669,43,2149,228,42,1815,39,4940,228,17,031,804104,4940,4940,152013,152013,1984,1984,1815,1815,1600,1600,379300,379300,1984,1984,669,669,43,43,2149,2149,228,228,42,42,1815,1815,39,39,4940,4940,228,228,17031804104,0.8815426997245179,0.12563983248022337,0.046153846153846156,0.021487603305785124,0.3588709677419355,76.6194556451613,0.002699698879740337,0.04251088598595929,1.0,True,0.9398167368973341,0.18649753513640976
Census Tract 8041.05; Cook County; Illinois,4570,153981,1755,1699,1670,432700,1755,458,10,1640,25,77,1699,19,4570,35,17,031,804105,4570,4570,153981,153981,1755,1755,1699,1699,1670,1670,432700,432700,1755,1755,458,458,10,10,1640,1640,25,25,77,77,1699,1699,19,19,4570,4570,35,35,17031804105,0.9829311359623308,0.06219512195121951,0.007658643326039387,0.011183048852266038,0.26666666666666666,87.73846153846154,0.0006955310871531316,0.004551697076711776,1.0,True,0.9908360274523473,0.11219984518742315
Census Tract 8041.06; Cook County; Illinois,7231,150132,2743,2624,2240,436900,2743,676,99,2622,349,54,2624,16,7231,225,17,031,804106,7231,7231,150132,150132,2743,2743,2624,2624,2240,2240,436900,436900,2743,2743,676,676,99,99,2622,2622,349,349,54,54,2624,2624,16,16,7231,7231,225,225,17031804106,0.8536585365853658,0.15369946605644547,0.031116028211865578,0.006097560975609756,0.2825373678454247,54.73277433467007,0.0009371918661978383,0.041346931879818256,1.0,True,0.9372487640997026,0.16953946902736663
Census Tract 8041.08; Cook County; Illinois,4270,88773,2319,2175,254,-666666666,2319,652,155,1818,72,0,2175,195,4270,247,17,031,804108,4270,4270,88773,88773,2319,2319,2175,2175,254,254,-666666666,-666666666,2319,2319,652,652,155,155,1818,1818,72,72,0,0,2175,2175,195,195,4270,4270,247,247,17031804108,0.1167816091954023,0.039603960396039604,0.05784543325526932,0.0896551724137931,0.34799482535575677,38.28072445019405,0.0035506998975759646,0.3073554296590385,1.0,True,0.6796341290420939,0.16547699349388797
Census Tract 8041.09; Cook County; Illinois,3203,146382,1170,1145,974,523400,1170,201,0,1150,82,12,1145,68,3076,123,17,031,804109,3203,3203,146382,146382,1170,1170,1145,1145,974,974,523400,523400,1170,1170,201,201,0,0,1150,1150,82,82,12,12,1145,1145,68,68,3076,3076,123,123,17031804109,0.8506550218340612,0.0817391304347826,0.03998699609882965,0.059388646288209605,0.1717948717948718,125.11282051282052,0.004854376305297133,0.02565670137722539,1.0,True,0.932276983662598,0.12213488311853538
Census Tract 8042.02; Cook County; Illinois,7444,183859,2931,2774,2265,558900,2931,681,188,2727,241,23,2774,154,7416,343,17,031,804202,7444,7444,183859,183859,2931,2931,2774,2774,2265,2265,558900,558900,2931,2931,681,681,188,188,2727,2727,241,241,23,23,2774,2774,154,154,7416,7416,343,343,17031804202,0.8165104542177362,0.0968096809680968,0.04625134843581446,0.0555155010814708,0.2964858410098942,62.72910269532583,0.005374437948481221,0.05440205229777798,1.0,True,0.9181116177385947,0.1654145582840226
Census Tract 8042.03; Cook County; Illinois,3598,246477,1128,1111,1101,934000,1128,358,48,1352,86,55,1111,0,3598,44,17,031,804203,3598,3598,246477,246477,1128,1128,1111,1111,1101,1101,934000,934000,1128,1128,358,358,48,48,1352,1352,86,86,55,55,1111,1111,0,0,3598,3598,44,44,17031804203,0.990999099909991,0.10428994082840237,0.012229016120066704,0.0,0.3599290780141844,218.50797872340425,0.0,0.003239685670694721,1.0,True,0.991526864957092,0.15758641175340535
Census Tract 8042.04; Cook County; Illinois,5191,157750,1913,1857,1568,701400,1913,66,295,1363,158,21,1857,30,5044,457,17,031,804204,5191,5191,157750,157750,1913,1913,1857,1857,1568,1568,701400,701400,1913,1913,66,66,295,295,1363,1363,158,158,21,21,1857,1857,30,30,5044,5044,457,457,17031804204,0.8443726440495423,0.13132795304475423,0.09060269627279936,0.01615508885298869,0.18870883429168844,82.46210141139571,0.0021216147503191314,0.02936825692530854,1.0,True,0.9075438540489668,0.1551890527989026
Census Tract 8043.05; Cook County; Illinois,8126,79464,2765,2707,2498,241900,2765,914,85,3889,378,78,2707,393,8126,1526,17,031,804305,8126,8126,79464,79464,2765,2765,2707,2707,2498,2498,241900,241900,2765,2765,914,914,85,85,3889,3889,378,378,78,78,2707,2707,393,393,8126,8126,1526,1526,17031804305,0.9227927595123753,0.1172537927487786,0.18779227172040364,0.14517916512744736,0.36130198915009043,28.739240506329114,0.017022807739294418,0.027895129564968212,1.0,True,0.8901636433786995,0.2703111834914361
Census Tract 8043.06; Cook County; Illinois,5889,105236,1867,1832,1588,260100,1867,107,29,2876,228,105,1832,2,5889,285,17,031,804306,5889,5889,105236,105236,1867,1867,1832,1832,1588,1588,260100,260100,1867,1867,107,107,29,29,2876,2876,228,228,105,105,1832,1832,2,2,5889,5889,285,285,17031804306,0.8668122270742358,0.11578581363004173,0.048395313295975545,0.001091703056768559,0.07284413497589716,56.3663631494376,0.00012640372667035123,0.00970194810814351,1.0,True,0.9338804016993727,0.09596044594885901
Census Tract 8043.08; Cook County; Illinois,4918,84244,1980,1906,1366,272900,1980,407,0,1850,49,57,1906,101,4918,484,17,031,804308,4918,4918,84244,84244,1980,1980,1906,1906,1366,1366,272900,272900,1980,1980,407,407,0,0,1850,1850,49,49,57,57,1906,1906,101,101,4918,4918,484,484,17031804308,0.7166841552990556,0.057297297297297295,0.09841398942659618,0.05299055613850997,0.20555555555555555,42.547474747474745,0.003036215649017328,0.05823714585519412,1.0,True,0.8614496328594304,0.13661064835937126
Census Tract 8043.09; Cook County; Illinois,2978,91595,973,967,760,263100,973,157,26,1410,89,11,967,51,2896,185,17,031,804309,2978,2978,91595,91595,973,973,967,967,760,760,263100,263100,973,973,157,157,26,26,1410,1410,89,89,11,11,967,967,51,51,2896,2896,185,185,17031804309,0.7859358841778697,0.07092198581560284,0.06388121546961326,0.052740434332988625,0.1880781089414183,94.13669064748201,0.0037404563356729526,0.040260774096043,1.0,True,0.8999866484028128,0.12702548936225852
Census Tract 8043.12; Cook County; Illinois,1661,183000,552,552,514,544300,552,19,0,578,71,19,552,9,1661,48,17,031,804312,1661,1661,183000,183000,552,552,552,552,514,514,544300,544300,552,552,19,19,0,0,578,578,71,71,19,19,552,552,9,9,1661,1661,48,48,17031804312,0.9311594202898551,0.15570934256055363,0.028898254063816978,0.016304347826086956,0.034420289855072464,331.5217391304348,0.0025387392808785916,0.0023695127074144077,1.0,True,0.9640910178749857,0.10398980420175497
Census Tract 8043.13; Cook County; Illinois,6563,130869,2200,2129,1668,332800,2200,79,31,2570,347,139,2129,20,6503,723,17,031,804313,6563,6563,130869,130869,2200,2200,2129,2129,1668,1668,332800,332800,2200,2200,79,79,31,31,2570,2570,347,347,139,139,2129,2129,20,20,6503,6503,723,723,17031804313,0.7834664161578205,0.18910505836575875,0.11117945563586037,0.009394081728511038,0.05,59.48590909090909,0.0017764683735627877,0.010826679192108973,1.0,True,0.8780226170498596,0.15074930219682062
Census Tract 8043.14; Cook County; Illinois,1322,101635,636,611,562,315200,636,360,10,665,107,4,611,36,1322,64,17,031,804314,1322,1322,101635,101635,636,636,611,611,562,562,315200,315200,636,636,360,360,10,10,665,665,107,107,4,4,611,611,36,36,1322,1322,64,64,17031804314,0.9198036006546645,0.16691729323308271,0.048411497730711045,0.058919803600654665,0.5817610062893082,159.80345911949686,0.009834734134846118,0.0466551379839216,1.0,True,0.9515351524006747,0.28248207206096204
Census Tract 8043.15; Cook County; Illinois,2683,101806,891,891,804,304000,891,269,0,1163,92,46,891,33,2683,162,17,031,804315,2683,2683,101806,101806,891,891,891,891,804,804,304000,304000,891,891,269,269,0,0,1163,1163,92,92,46,46,891,891,33,33,2683,2683,162,162,17031804315,0.9023569023569024,0.11865864144453998,0.06038017144986955,0.037037037037037035,0.30190796857463525,114.26038159371492,0.004394764497945925,0.029479229254762363,1.0,True,0.9403650712808606,0.17685443581687393
Census Tract 8043.16; Cook County; Illinois,4486,116835,1678,1561,1511,350100,1678,138,7,1948,167,40,1561,29,4486,162,17,031,804316,4486,4486,116835,116835,1678,1678,1561,1561,1511,1511,350100,350100,1678,1678,138,138,7,7,1948,1948,167,167,40,40,1561,1561,29,29,4486,4486,162,162,17031804316,0.9679692504804612,0.10626283367556469,0.03611234953187695,0.018577834721332478,0.0864123957091776,69.62753277711562,0.001974133361045084,0.002767853802343934,1.0,True,0.973100415846832,0.09639938324745594
Census Tract 8044.03; Cook County; Illinois,7194,87445,2853,2792,1849,275100,2853,628,0,3009,193,79,2792,100,7149,551,17,031,804403,7194,7194,87445,87445,2853,2853,2792,2792,1849,1849,275100,275100,2853,2853,628,628,0,0,3009,3009,193,193,79,79,2792,2792,100,100,7149,7149,551,551,17031804403,0.6622492836676218,0.0903954802259887,0.0770737166037208,0.03581661891117478,0.22011917280056081,30.650192779530318,0.003237660466546873,0.07434540829187995,1.0,True,0.852853585298054,0.1448562878469591
Census Tract 8044.04; Cook County; Illinois,5399,86546,1684,1684,1482,275600,1684,158,83,2013,176,110,1684,43,5334,394,17,031,804404,5399,5399,86546,86546,1684,1684,1684,1684,1482,1482,275600,275600,1684,1684,158,158,83,83,2013,2013,176,176,110,110,1684,1684,43,43,5334,5334,394,394,17031804404,0.8800475059382423,0.14207650273224043,0.0738657667791526,0.02553444180522565,0.14311163895486936,51.39311163895487,0.0036278441909063765,0.017166598021902377,1.0,True,0.9268877307885313,0.1453792343386514
Census Tract 8044.05; Cook County; Illinois,3643,76906,1098,1078,343,281300,1098,76,57,1638,78,40,1078,101,3589,475,17,031,804405,3643,3643,76906,76906,1098,1098,1078,1078,343,343,281300,281300,1098,1098,76,76,57,57,1638,1638,78,78,40,40,1078,1078,101,101,3589,3589,475,475,17031804405,0.3181818181818182,0.07203907203907203,0.13234884368904987,0.09369202226345083,0.12112932604735883,70.04189435336977,0.006749486341323075,0.08258817685047194,1.0,True,0.7134299211400381,0.1451244981622396
Census Tract 8044.06; Cook County; Illinois,5465,75305,2016,1857,1656,223200,2016,413,80,2455,112,22,1857,54,5402,836,17,031,804406,5465,5465,75305,75305,2016,2016,1857,1857,1656,1656,223200,223200,2016,2016,413,413,80,80,2455,2455,112,112,22,22,1857,1857,54,54,5402,5402,836,836,17031804406,0.8917609046849758,0.054582484725050916,0.15475749722325063,0.029079159935379646,0.24454365079365079,37.35367063492063,0.0015872128029901721,0.026469183526937955,1.0,True,0.894596862931814,0.15728123527949223
Census Tract 8045.05; Cook County; Illinois,3677,94669,1591,1471,1004,232700,1591,313,137,1824,0,29,1471,54,3677,417,17,031,804505,3677,3677,94669,94669,1591,1591,1471,1471,1004,1004,232700,232700,1591,1591,313,313,137,137,1824,1824,0,0,29,29,1471,1471,54,54,3677,3677,417,417,17031804505,0.6825288919102651,0.015899122807017545,0.11340766929562143,0.036709721278042146,0.28284098051539913,59.502828409805154,0.0005836523668109771,0.08979383949741088,1.0,True,0.8433618139078055,0.13679975291723628
Census Tract 8045.06; Cook County; Illinois,5352,128170,2034,1949,1617,360400,2034,550,115,2213,282,94,1949,89,5216,354,17,031,804506,5352,5352,128170,128170,2034,2034,1949,1949,1617,1617,360400,360400,2034,2034,550,550,115,115,2213,2213,282,282,94,94,1949,1949,89,89,5216,5216,354,354,17031804506,0.8296562339661365,0.16990510619069138,0.0678680981595092,0.045664443304258596,0.32694198623402165,63.01376597836775,0.007758622088748863,0.0556925292096948,1.0,True,0.9127947089981814,0.2152704316050409
